document_id,manual_summary
0,"Anggota Komisi VII DPR RI Rofik Hananto menyayangkan terjadinya insiden kebakaran yang disebabkan oleh bocornya depo Plumpang, Jakarta Utara, pada Jumat, 3 Maret 2023."
1,"Presiden Joko Widodo atau Jokowi memerintahkan Wakil Presiden Ma'ruf Amin untuk meninjau langsung lokasi kebakaran depo Pertamina di Plumpang, Jakarta Utara."
2,"Wakil Ketua MPR RI Dr. H. M. Hidayat Nur Wahid MA., atau HNW menerima kunjungan perwakilan korban kasus biro perjalanan Haji dan Umroh First Travel, yang tergabung dalam Paguyuban First Travel Indonesia. "
3,"Tim Kedokteran dan Kesehatan (Dokkes) Polri telah menerima 14 kantong jenazah korban kebakaran Depo Plumpang, Jakarta Utara."
4,Ketua MPR RI sekaligus Ketua Umum Ikatan Motor Indonesia (IMI) dan Wakil Ketua Umum Partai Golkar Bambang Soesatyo diangkat sebagai Ketua Dewan Pembina Harley Davidson Club Indonesia (HDCI) periode 2023-2028.
5,"Pada 3 Maret 2023, kebakaran hebat melanda Depo Pertamina Plumpang di Jakarta Utara, menyebabkan 17 orang tewas dan puluhan lainnya luka-luka. Wakil Presiden Ma’ruf Amin meninjau lokasi kejadian dan menyatakan bahwa Pertamina akan menanggung seluruh biaya pengobatan dan kebutuhan para korban serta pengungsi."
6,"Memperingati 14 tahun PT Sarana Multi Infrastruktur (Persero), Menteri Keuangan Republik Indonesia Sri Mulyani Indrawati beserta jajaran berkunjung ke kantor PT SMI, Jumat, 3 Maret 2023."
7,"Wacana penundaan Pemilu 2024 kembali mencuat setelah PN Jakarta Pusat mengabulkan gugatan Partai Prima terhadap KPU, memicu kekhawatiran akan potensi perpanjangan masa jabatan Presiden Jokowi meskipun ia telah menegaskan tidak berniat menjabat tiga periode.
"
8,"Markas Besar Kepolisian Republik Indonesia turun tangan menyelidiki penyebab Kebakaran Depo Pertamina Plumpang, Jakarta Utara."
9,"Buffer zone atau kawasan penyangga yang memisahkan Depo Pertamina Plumpang, Jakarta Utara, dengan pemukiman warga kini menuai sorotan, karena sudah diusulkan sejak 2009 silam. Presiden Joko Widodo atau Jokowi yang pernah menjadi Gubernur DKI Jakarta 2012-2014 mengakui usulan tersebut juga dibahas di era kepemimpinannya."
